UN. DA FEDERAÇÃO;MARANHÃO;;;;;;;;;;;;;;;;;;;;
PRODUTO;GLP (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 15.489 ; 15.817 ; 13.710 ; 12.529 ; 14.104 ; 13.272 ; 14.227 ; 14.788 ; 15.842 ; 16.419 ; 17.019 ; 18.324 ; 19.289 ; 22.723 ; 24.337 ; 23.569 ; 21.592 ; 22.812 ; 23.001 ; 24.432 ; 24.529 
Fevereiro; 15.181 ; 15.881 ; 13.544 ; 11.138 ; 12.036 ; 13.007 ; 12.899 ; 13.415 ; 14.534 ; 14.911 ; 16.144 ; 17.616 ; 19.285 ; 20.729 ; 21.994 ; 21.881 ; 22.318 ; 20.968 ; 21.772 ; 22.634 ; 23.316 
Março; 16.720 ; 15.827 ; 16.512 ; 13.592 ; 14.455 ; 14.032 ; 15.059 ; 15.848 ; 16.215 ; 17.055 ; 18.547 ; 19.684 ; 21.501 ; 22.073 ; 23.167 ; 24.281 ; 24.072 ; 25.962 ; 23.927 ; 23.410 ; 26.696 
Abril; 16.639 ; 16.164 ; 13.099 ; 12.892 ; 14.303 ; 13.958 ; 14.708 ; 15.227 ; 16.441 ; 17.359 ; 18.133 ; 19.142 ; 19.595 ; 24.021 ; 24.067 ; 24.039 ; 22.530 ; 22.693 ; 24.619 ; 24.625 ; 25.933 
Maio; 16.773 ; 16.228 ; 16.755 ; 12.474 ; 14.225 ; 14.862 ; 15.561 ; 15.996 ; 16.910 ; 17.620 ; 17.579 ; 19.654 ; 20.570 ; 22.857 ; 23.631 ; 22.914 ; 23.425 ; 24.934 ; 22.190 ; 24.413 ; 26.566 
Junho; 16.566 ; 15.601 ; 13.788 ; 12.043 ; 13.649 ; 14.742 ; 15.616 ; 14.921 ; 16.242 ; 17.684 ; 17.834 ; 19.237 ; 19.936 ; 21.503 ; 21.756 ; 23.253 ; 23.045 ; 23.521 ; 25.277 ; 22.557 ; 26.634 
Julho; 16.410 ; 15.547 ; 14.287 ; 14.471 ; 14.486 ; 14.424 ; 15.179 ; 15.505 ; 16.739 ; 18.503 ; 18.926 ; 19.282 ; 20.283 ; 24.423 ; 24.904 ; 24.188 ; 21.948 ; 24.124 ; 23.880 ; 25.251 ; 27.195 
Agosto; 16.908 ; 15.120 ; 13.457 ; 13.893 ; 13.362 ; 15.183 ; 15.550 ; 16.138 ; 16.887 ; 17.969 ; 18.606 ; 20.791 ; 21.342 ; 23.574 ; 23.264 ; 23.405 ; 25.565 ; 25.211 ; 25.531 ; 24.314 ; 26.323 
Setembro; 15.712 ; 13.678 ; 14.543 ; 13.433 ; 14.387 ; 14.651 ; 14.933 ; 14.809 ; 16.796 ; 17.692 ; 18.605 ; 19.635 ; 19.231 ; 22.062 ; 23.285 ; 22.317 ; 22.779 ; 23.516 ; 22.911 ; 23.638 ; 25.759 
Outubro; 16.536 ; 15.145 ; 14.701 ; 13.134 ; 13.963 ; 13.175 ; 15.330 ; 15.830 ; 17.114 ; 17.754 ; 17.812 ; 19.075 ; 21.716 ; 23.811 ; 23.892 ; 23.203 ; 22.378 ; 22.654 ; 24.040 ; 24.634 ;
Novembro; 15.920 ; 15.099 ; 13.334 ; 13.029 ; 13.882 ; 14.803 ; 15.415 ; 15.378 ; 15.117 ; 16.584 ; 18.327 ; 19.286 ; 21.147 ; 22.061 ; 22.036 ; 21.194 ; 22.374 ; 22.282 ; 23.594 ; 23.365 ;
Dezembro; 15.642 ; 16.153 ; 14.356 ; 13.334 ; 14.506 ; 15.372 ; 15.332 ; 16.244 ; 17.516 ; 18.151 ; 19.539 ; 21.100 ; 22.906 ; 23.429 ; 24.743 ; 23.767 ; 24.321 ; 23.609 ; 23.926 ; 25.561 ;
Total do Ano; 194.495 ; 186.260 ; 172.085 ; 155.961 ; 167.358 ; 171.481 ; 179.809 ; 184.098 ; 196.353 ; 207.701 ; 217.072 ; 232.828 ; 246.801 ; 273.266 ; 281.074 ; 278.009 ; 276.348 ; 282.287 ; 284.668 ; 288.832 ; 232.950 
